id,headline,image_url,article_url,article_content,article_date,article_time,sentiment_score,sentiment_label,scrape_timestamp
2,Pakistan Violates LoC Ceasefire Again As Tensions Escalate After J&K Attack,,https://news.google.com/./read/CBMiogFBVV95cUxQVFM1RmZiRGZHX2ZGOUx6QTVrQWhJZFRtdkJMVnNzdEplSGp0Ynk1TXpWZzk5Qk1JekotaVBZemJVSDdMSU52bEcxNUhYUGQ1SEFfVlpuRWRIRkxQcWlJcDdnWktJeHMwS0d0VUkzeDhabE1nM2o1ZEdCRnVKRWJsTDFlbUJLOXAzd1FGTmFVT3RJbkVSdEsxeF9ONUZ0WnRESVE?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,01:53:00,0.36795252561569214,Negative,2025-04-26 14:56:35.954161
3,"Kashmir attack live: India, Pakistan trade fire as Pahalgam gunmen hunted",,https://news.google.com/./read/CBMivgFBVV95cUxOWmZYOXJVNkpKUlBUbkZWS05rdE5oREJualllekFQbHZaNi00OTRUUURpdzlhdWtWc0lsMjY3SVlGdFh3UTd2cmR1bUFGWENjNU9XeGRDTUw4Q1FmY3Vyb1VYcnpWd1VmOHlnUmZGVGtrTjFWenZNWWwyNG5vVXYteTlHMnVKM19nZExtU2FwWWxIdW5MdmtBbjhBUFAzR3JLM3laMWM0d0VMaDlKYW9YUE9zeVZBN29LNGJSYVJn0gHDAUFVX3lxTE5iWEZja0QzSmUtS2pKMkRORTFnZE13dENIaXpkS1hMNlFncnZFcEhKT0dXc3drb21HbE8wa256S3ZpWC1XT0o1c09TUnAtMjg3eHFoam9kdVhKNi1CWEJGclFDRmtUb1JCNmx0QnFSVk5lMUVBV0tjMzg4ODdVY1lhMVBxMzh3aEYtd3VpRlhyeVlmMHZZcXhhTXl6RHZzMnB2VHdUY294VWcxeGl0Ums4dmRjOG5pRENPNzVpUjA4WFJ6MA?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,09:03:33,0.36795252561569214,Negative,2025-04-26 14:56:36.060994
4,Pahalgam Terror Attack LIVE Updates: Pakistan Army resorts to ‘unprovoked firing’ along LoC for second time in 2 days,,https://news.google.com/./read/CBMisAFBVV95cUxNcndhMnpYaVR3dXFhMC0zX3FFUUtHXzlXN2dFc045MmZjWEJ5VVdYOGFBaFQwTDBfYWZKaDFWdm4zQ1RETDF0ZFZZMXNOczMyMXVWa1F5YXUtNVJkXzdFRHV5VjhDSERxTHcxbUphSWlpdDl4VkZmd3pteTlmZ0VYQ01BUGJuN25fWHpUeEp3SldWSjBlclVhV1VUMW84M25FMWJReDQxXzViWXNBb3RPNQ?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,09:21:35,0.36795252561569214,Negative,2025-04-26 14:56:36.126845
5,Homes of Kashmir attack suspects demolished,https://news.google.com/api/attachments/CC8iI0NnNXdkelJ4WHpaWVkzaE9hblE1VFJEZ0F4aUFCU2dLTWdB=-w280-h168-p-df,https://news.google.com/./read/CBMikAFBVV95cUxORV95MW9obkdJRzY1SHMwRFpCWWZtYjl2U05td2MwSVBCeG5ram5fc0hxQlRHa3hIRXdLc0FMRU9JaEwxaVc0d1NXQVdDd21admk5SUt5ZUI0bUhhQ0R2YWZDaEljWV9ZOE8zbGxHdkdFT3JhZG9OQlRKVHRGaGJPWjhVTGJkQmxoQ0JLR0FxVE3SAZYBQVVfeXFMTjV4V2h1akJMYmVsdFgzX1NjQ255Sll4dXNXQ25JU3NsT1ctZ0R0ZHF3QUFtdXNxajBLUndRQ1pkNC1FajhqcWY4M2ZHV1VqQ2l6NDE3V2JLWEdERlpOYjc5RUtwZnRXaHlnZkZ4RkV5YjNMdVR2ZHNfbUNqYVV1QmtTTUR1aUd4MlcwRmR1bjRHaFNOb1dR?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,07:31:33,0.36795252561569214,Negative,2025-04-26 14:56:36.195690
6,The Link Between A Student Visa To Pakistan And Pahalgam Attack,,https://news.google.com/./read/CBMi7wFBVV95cUxOZVJ3a1UwdG83X21KMEY5UkhnMV9qS2h1VVZXcFNSWmJ6QnNkS25sWS1RVFItX3NtZV9aYnJjQ3FZcGVPSkpJSmpwc01KU1FiZjdocDFCYkdkbUEtVDc1OUpuMVZJSFVHeXpQb25LZDcyOXlScm1QdGRrRE92ZFNUT2tPR1FHTHRXdXlWenh3elJHUzZoWTYzY1ZrdjlpOVh0eThLTmprRmVDbC1mcEJzemtZU1dvV0JLTUFBTEc1a3ZRS0QwcUlMVmtQZzZGS2ZfbXhKa3hlUHY5OWE4S0pyV0JPQ1BJeUVPN3FMVi1kWQ?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,05:33:17,0.36795252561569214,Negative,2025-04-26 14:56:36.264766
7,"Crackdown After Pahalgam Attack: Houses Of Wanted Terrorists Demolished In Pulwama, Tral, Shopian- News18",,https://news.google.com/./read/CBMi2AFBVV95cUxQbVZ4R21jY1E5bmZIMWl1YzdsM3Z0Z0JESGFhZ1p2dmM5TE9VM2NzaHd4R2lxSm9mZ0JLLVlRTERiTUFBZVgtMTRXZUpiNmgwYk1CUkxWaEVDSXIxLVUzZE8taV93ZGwxWk5HYkVQVUFKcnR6WlZyQml1eU1Rdm5hTUptT2RYaUZWa2syTXlxOFVsN1F3MWZGNHpCVXU1X01HanU1OUxubGNZUzZCVW5xRGN1aDJaaFJYVVRJTmpnZDRiQlptYndOUGZFUlQ0bkNDZ3hGeGdGbWvSAd4BQVVfeXFMTnhmYTdPbnBMcWJ1dVV0M2xzNE81X0g0ekVYZG9fRExGbVhKN0ZWSWtXYWtMckVYWWpBMy1QOXp6WElVNzVFcUZBcU5EYXFkWmlCRUhnMG0yQnIzbmwtR2JvU1p2d1FTakNyZ3JHeXgxLTRtbzlBRGo3Q29GYXlWYTFUMU1UTmpGSkZleEVCdkR3aUdsdmV0SWh1NmVjWWk2SzM5Wk16UlFKeEV0bXpIUjNiVy10dnQ4blNDRHRXR2l4d0lMTURSelJlWGdNUnRqbTFVX2U5NDFFNmozWEhn?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,09:06:19,0.36795252561569214,Negative,2025-04-26 14:56:36.327760
8,Video shows demolished homes of 5 terrorists days after Pahalgam terror attack,,https://news.google.com/./read/CBMi3wFBVV95cUxNQ09mcm5DUU9LYVJiVmplZlJDdVBHTHVHNFhJUE96c0piQ3pnX19iVFBOclY1NVB2eEMxM3l3VzV2MXNFc0pGZnFhZ2U4RWtyYUMwNjFFX3o0SzlUekZjS1d0SXpnZk42eFJyX3ZySmozN2lQVVJhX0p0VGkzWjNLWEFFME9KODZVb2pXY1pNZmdUZ2hKZEU4amF4TUszRUN2T0ZnQVNXMkh3N2lNS29xTUY1VzBCbFRwTWdiSDJWMF9ObThyTm9nXzZVeGJSLXNXbTdRc1JrcUY4RUNwNDF3?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,03:25:00,0.36795252561569214,Negative,2025-04-26 14:56:36.394008
9,"LG asks DCs, SSPs to ensure exit of Pak nationals from J&K",https://news.google.com/api/attachments/CC8iK0NnNXROM0ZXY0hvMWIxRTBVbms0VFJEd0F4anFCQ2dLTWdZQlZwTHNIUWs=-w280-h168-p-df,https://news.google.com/./read/CBMipAFBVV95cUxQZVdyNXN5Y0ptYVByalZNalN0eUFqWnlyWDhTWU42SkJMeHBsN3Z5NDVodkdvclJUbEtsNFNSOVJVR25nX0pIM2pDM0lCZ0Y2NHp4UlRsTTVmdkhIWFVuTjlFdjF5V1ZpQnhEUExpaFp5MlRjYVVkaDJRWUI5c1lBNTFoLVNYRlNkNzl5ZXlxanNtM1R3VjlDQXBreVBMTVg5Z1k2Y9IBpwFBVV95cUxQYVlGdlhvbjlsUUNDVkVoclBWMlRjR05mb1lUb0wzdDE3Q3dZTElaRVJYMU5BbjNJNldJQTFneHZraEVQbWoxMjF4TjY4dzNaNXM4azVWNnpQdWxMY3d2SjJWaVRPQno5NTI2VFBoN2otd2kyNXp2SG5teEZNTUNNUl9xd3ZqSTQxcHFhcTJqMmxuczhSQTJxUklXcHA2V3VKTnlrR21wZw?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-25,15:53:38,0.36795252561569214,Negative,2025-04-26 14:56:36.449793
10,Indians with Pakistani spouses not allowed to cross border,,https://news.google.com/./read/CBMixgFBVV95cUxPc1JzZUZTNEtWaWg4Q2VUUDNCVndyWHJITjY2MzhkeEYzc09saGlJTW9VZndBMnhNSUZUZjR4NzdlTEdHcE1LYUhoaTNpNmM3OGJrS1BLNzB0RXRMRENTdEpPcy13MEVPdDEyOTUySTZHTWxfSnJYNUlTU3pqVllSQzllWDZfWVIxejBKOUFRZlB4YXkxZjdZMXRYakhrWHBLOEo2M0dHRTBhcWxKQkxNcHJxRnZTSXVUNXBHSWgwYjN0QVN4eGc?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,01:08:02,0.36795252561569214,Negative,2025-04-26 14:56:36.510464
11,"Let me stay here, I’m India’s daughter-in-law now: Seema Haider",,https://news.google.com/./read/CBMiugFBVV95cUxPb1o4TnNzcW5Qb0pWNWNYaUhQY3MtYVEwMmMyVFBNdlk1c2xmeENQRFVENnQyTTN6N2tFZEx6dnViZ2tPbGNuVTJRN3d0LTFwNnZ4NUJYZmZ0OEQ2eGF1OUFGYlc1UVhHSTRUVFhHQUNHdVJCQ3RNUXBpYWo5d05WU1Jkb2tkbk9zNjlCdFJpU0FIN0hOamVwYzBEWmtNa2wwZWwwaTdlN3BxeGkyZk1nT2dkRjRzQjFPU1HSAcABQVVfeXFMTm5YaGZqaGpCTXZMSnFic2M5Y1E3bVhaQjk2anUwSzBzeWNiSzdrRldrdDdXMWJWcUo1UXU5NTl4b21jaHBmZ2dZd013NktUTlBrZ0hXdnpmdGFWemhOd3F1WmtoakpBMGhkS20yaTcxQnh3aTU0SmFMOEhWeXdvMm5iU0Zvb09fUFZFLTBXcC1TUUpucnVUWEpnRGN4R2FVclNackp4bVl4TzlaMWRkSXhBSzZpS3ZXZHBWaHVJSVhR?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,07:04:00,0.36795252561569214,Negative,2025-04-26 14:56:36.561489
12,Pak man’s plea for ailing children’s treatment in India amid visa chaos: ‘They have a heart condition’,,https://news.google.com/./read/CBMi3gFBVV95cUxNNWJKSnJXOGdHZElncWhPQXlQNUdjMW5QaHdOOWtfa2NzU1phM2JWal9nT19VVERBdHR3R0JMUld3YjFUS2dwNXhTQndMbGNaUFBiblI0RFp6RXhpUm1VWVhjdUVpRUlEaXhsbjYteFRuTU0xQkU1bHRzSnNHWlJoVmxfbll6a3dsUGFkWUk2SDNYNDA2cFh4NEJ6RDAwSnk5Nms1cFZFX0dzVjdLZUVzQjJqajNhcnlyN0FlSFBpVXQxUXNFN3I3ZHJ5aFM4V0VKQ1ZrUW5wbXI4ZTJIb1E?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,03:21:25,0.36795252561569214,Negative,2025-04-26 14:56:36.616059
14,"Pahalgam terror aftermath: 1,024 Bangladesh nationals detained in Gujarat, Minister Sanghavi calls it ‘historic victory’",,https://news.google.com/./read/CBMiwAFBVV95cUxPN0NLOFgxZzBYZG56U3U0WVk5R0gwa25RN3pDcjhfbmgyeGQyNUlFRk1DTElVSW9ZdzYwa1hQLTFIMFlUS3diU3ZHNy1CR2d1clFfT2NjWkh3UTBOanpqeE40V2xxa1BMbmJEMDQ2UWwxQzRKY3NwclFXdHpTeVM3bzBVR0xLUTFMaEdMMndtMEl2Y0pOZ0JNcFVHSk5tMHlobl9lck9wZS0wUjF3NzJ6d2NtRUVMZlYzTjFSS2czMDY?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,08:38:10,0.36795252561569214,Negative,2025-04-26 14:56:36.717160
15,"Fake IDs, expired visas: Gujarat launches major operation against illegal immigrants, over 550 detained",,https://news.google.com/./read/CBMi6gFBVV95cUxNeGR2RHVsWk05M0w5LWFLbF9zZFo1anlVMk44akp3QVFfQ2l2UW5LeVU4dkNJYTRsZHRJRlBrbVRCT2hJY0xFLTdPRzFPQ3h1WGJzY0J4NmRFbjU0MlFEdlhSWF9GeWZQOEpreGNMdDl5NVdNTFRzc0ZUUXNENmRWQlZJY3RodmtRQlJzUHFoN2pxYVZ0bFdDcGU3Y2theVlFVjdyZm5LV0QxblVsZjFqY2lmemFvUy1LYkZfQnlLUWlEbmNtZUUxR2l5cTJmZ3NxeHZJMFFiUEF6SWkwUmdtdElWRGNoSXNMeFHSAe8BQVVfeXFMT21fX3BUVWp5VXhTd0w4MFUtYXBsamFQbnFXR2tfaUJ5T2pRdW8zUGV0WW5OSVFJQ3JrNHF6RW1jckhmNjJmQXl0ckNDZ1doa3JBc0l2OWFmamh5VlFKSzhkdU9BSC1MYnhYTzktd1gzOEd6ZGJKdG4yMy1SaE04cHBYNGN5SVVhMDJ1cFRVUjZjc1lrdzdBcThGblNmSlNENXN4NXdOekM0REk0ZDVpbm5tdGlLZGVWZU9kMnVzNS02d2tjYTNBRnlMelRyaFV1dnZmQkhoTnZ5akZZZU82Wk5lSGJTTVRxWlFHanR2TzA?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,05:31:35,0.36795252561569214,Negative,2025-04-26 14:56:36.768274
16,Bring perpetrators to justice: UN Security Council on Pahalgam terror attack,https://news.google.com/api/attachments/CC8iK0NnNDJSV05QZURrMWVVMUpRVXBqVFJDbEF4alpCU2dLTWdZQlk1QUxJZ2c=-w280-h168-p-df,https://news.google.com/./read/CBMitAFBVV95cUxQVUZtOS1YSm9JckczSGkyR0ptWG41YXZaa1NqWnlqT1dCNGN2Z3lDdzZnSnd0dU13UVRyamMyUFo4ME5ISDdFdi1TenhLZDBYamRUTXhOd1RJdmRCUEw4QjFna1dNc2dxZUUxYXNiUW1FWFVraXVnUjY4R0JMWkMtSjhLYTlMNjZIQnNORy05RUliNjQzWVBUcW82ZlVxbG5URHJMal9wRTJDZ0lTaWozLWZGaHU?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,03:34:58,0.36795252561569214,Negative,2025-04-26 14:56:36.860380
18,"Indus treaty on hold, but when can India turn off Pakistan's tap completely?",,https://news.google.com/./read/CBMi8gFBVV95cUxPeXQzMFVGNHFjN0JzLWZCZnRWWHVpa05mUE1KMlBVVUNvMEV1YWdSV2Q2cmkzRTFBTWZWcndvXzc1TklvWllETGNnMFFHRGdmeFRJbW1hZ1Ezd0tDYzJ3ajFYbF8tZkJDbmk1N1VoNzc1NG1tVjMydWlrT184VDVEdFFlNEpxYm15T3JrMzZ4a3BTUW9uRzdqS3c2RmZCQ2w5Tkt5ZkxQeHFCSk96M1VJaTNJSWVTZFpVMWpHYTRoVy1hYTNJUlZUV3hjeTdCMm9IeUZBSWo4MXlHS3JNSmdtdmVCLXFiVzBTcXR3LURVUEtxdw?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,07:23:02,0.36795252561569214,Negative,2025-04-26 14:56:36.970446
19,​A gathering storm: On India’s diplomatic actions against Pakistan,,https://news.google.com/./read/CBMixAFBVV95cUxNektJUEpSVXBOYmNEaU91TmVGMnFNRENvS2YyQUo5N3lZam02X01Yd1BpUHVLN2tzdFhCcDNrQ2N5YkFCTHpFQ0RnSUh2bXBXYzdfQkQyMk95T3lJZ3Rmb0RYUmRBa3E5U3F5anFtbGlWdVh1dFZKMWY4ZUx5R0NFTEg5MmpTRkx2YTVpZk42c24zNUhMR1R1ZFVhMmxEQTlEa0pzNWpodjlSSHNwOHdJV3VVSE9mUUtWZVYtNG9tam9VVnkw0gHLAUFVX3lxTE03SEMwMUMtc1JtdURiYUtCQjhJd2tFMHd6TjhSa0tzUzQ0dl9hZmI2eS0yMXRhOEtHek1qTDVQN2ZUZ3B4SFVWYmhJRnFNdTdWNkpGWFJlUnUtZndvMWgxRHVhU1ZJVG5NN2REVkFHOFZmOEdYMGotZ3ZIcUV6b3dHZGNEQ3YwMFVNaXh5ODA0dUhud3FDWVY1ZHg1NW9GWVJTQmZ5ZkpGZk15N2tTNWM2N3hZck13ckRGREpPT0FOcUdjaDdsU3ZmN01v?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-25,18:50:00,0.36795252561569214,Negative,2025-04-26 14:56:37.023832
20,"Pakistan ready for ‘neutral investigation’ into Pahalgam attack, says PM Shehbaz Sharif",https://news.google.com/api/attachments/CC8iK0NnNUpiak56Umt4MlQxcEVNRkZ0VFJDMUFoaWxCQ2dLTWdhcE5ZYk9vUWc=-w280-h168-p-df,https://news.google.com/./read/CBMi4AFBVV95cUxOWEVWS2dfX2dqbV9hM1QtamxSazRiOXlETC1vYzJJS09JVHN5R21JZU4tTlBfSjhXT1BVMFlYVkJkNWVBdXlBUkZOR3ZzdzkzSnFLMkFBTmYzRmhZT2hQYl9OSWpEMnVRa3ptMi1melZOUEtJYTdtVWY0SlI2cDlJQVB6czlJSVhNaGpqclA3cDBKdG9ITUx4MWpyb0p4ajB1LV9RSkp3VmxDZGVPcHpuaDF5V2RwWkoyVkhpMGN3NU1oWEhxc25Qb213Q1hTcVVpc005dEs3OWRqQTBwYXpxSA?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,06:01:51,0.36795252561569214,Negative,2025-04-26 14:56:37.080017
21,"Jammu Kashmir News Live: Armed forces' cryptic posts, Yogi Adityanath's 'zero-tolerance' remark, Assam's stern warning against 'whitewashing' and more",,https://news.google.com/./read/CBMitwFBVV95cUxNcjdfaDNEZkFOWDNQd1FHaW1ZNFFpUXZpRnlmSGRzSXdTaHJCaTB0X3U3MFhTQlFNa1Q1MTg5MmpZckE4NnJjX0ZNdlNYTmRnR1BVSXRvUkpORU9jQTJtRExvS1FyVHc0aFp2ZDNJOEtGbTQ0Q2xIN1lyUDhJaWdDZ1Z1TnRFQ2hBRTZGclFZSTZsSF9NZy1sN0x4dnl0ZEhLNWJLdjZMLURLUlRJYzF2aUl5cnF6YTTSAbwBQVVfeXFMT3VmcHpoN0k3U2xiSDE1YU5LZGdzeDc4ekRyczQ3U1NXR01TQkxiRDZGTnQyUHp3MWhoSS1YWDctY3pyMVhFNVJGUkRjdVp4YjdWS3FMdDRLWHdyVHZIWVA5T1d6UkN1NXl3UExNLXhqamJ5QmREZW4xMVd0Q1o0MXJaR0VBZkpMOWdLcWhpZXZnU3JES3hGdGQ5MUFLX19RS1pLZGh6b1VUS0ZuZWpCYzRtRE03MDFyOTdnYWQ?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,08:38:38,0.36795252561569214,Negative,2025-04-26 14:56:37.178221
22,Pak's Shehbaz Sharif breaks silence amid tensions: Prepared for any misadventure,,https://news.google.com/./read/CBMiggJBVV95cUxPN0FiU296T2lXbDljNGZKMGpBTTFMNTExWTRuVm9kZ1otSHhVbW1DUlhPOE9fTE9WcXhVREhBRU05dVBkRnpLUXVsNHIzS0JyZVBwRkJ1M0JoZGQ2V0VwTHZZb2xra01LT3ROUGFGanBpcWNhR0ZFYkhTak1SLWZISUNnRmdEdHllVGxHYzZkeHNtanNubUQwUTRab2tpT1VqMFZCMEF2UXJGWm5OMzZWWHpsbTFCT2l4YXRreS1sUDYyR0V6SXFLY3lhVE5XeUd6QlpIS1VHdE9LNG1KODV5WGtxa3JrbWxRTnZ3SmJiRVJvREZDRXJNb0kwaDhNN0p4Tnc?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,09:01:31,0.36795252561569214,Negative,2025-04-26 14:56:37.236677
23,Pakistan official calls for international inquiry into Kashmir terror attack,https://news.google.com/api/attachments/CC8iK0NnNXZZekYyU2pOTU9EQnFPWFpMVFJEU0FoallCQ2dLTWdhRkVZd3BsUWs=-w280-h168-p-df,https://news.google.com/./read/CBMivgFBVV95cUxPenRQSUxHUTdvdzZKSGxVeWZkSVBoU2lCRk40RXNMSkx1S0hWOVFYNUp1dDMzR2t4SXp4VGhoeDYwcFNLNV8yOGJ1Vzk2NVdpNkFiZ1ZVVUVDYnRhRDdxQjh1UnBkMkZFYTRQMjYzQXZ5Z2U3c2Vwc0t1T3FFYXFYVlo2Ylh2bGxsN0VzWHluRnJFamdLNDhvcVVoTzl0WGZmM09hZDZkWENCT2g4Y3EwSzk0ZkFETHNDODBPU05n?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,04:23:55,0.36795252561569214,Negative,2025-04-26 14:56:37.294665
1,"Pahalgam terror attack LIVE: The Resistance Front denies involvement in attack, blames Indian intel for earlier claim",https://news.google.com/api/attachments/CC8iI0NnNTRZbnBOVWkwd2NEa3hkMU5xVFJDZkF4ampCU2dLTWdB=-w280-h168-p-df,https://news.google.com/./read/CBMixAFBVV95cUxNbUhNZklFMkcyVkhpRDZ5ejJldmFTUk1CVmthU2czQlVXZFRWVVpFT0xNWE41RkFtUU9rS2NGdVdtbnE2MHdSVnhYd3pSWDFXVk5tblpKWjc0LUU2NklCbGVnUExoRHdxOWNEcnlhMnNBV21LUEl3eFB6S01LWDFGQkZDOThxd3Q5X3U4OWdhMGFzTnpmZU8tajNvOW1PSWxhRDZhN0lETVBVeDhuLTJOYTFQcTdvVklzNmRQX1IzLWJNeHpP0gHLAUFVX3lxTE5maGF3NnlLU1hTeFdMNEkwS3dSRGhzcWZ6bUxpOTRDRHY3enUwU2F0NVlnNU5MWl83VlgxT2diXzAyQ2Nha05BZ2Ewc3FtRmpabDQ0d2k2RGVwTHRmVy03dzMtcnl3bS16My1wYll3SzgzcEpPaWNIM2JjdEMyRWRpbU56dk9YSjIwTHk2TkpWVG5pUVRtQ2lxcG94OXdWaUxFN0xiZXV0bkNYdlJMNnp3ajRzUmJESGJXSlFXWlB2aEVZblVSWFJ4eUVj?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,08:47:12,0.36795252561569214,Negative,2025-04-26 14:56:35.370399
13,Major crackdown on immigrants in Gujarat: Over 500 Bangladeshi nationals detained,https://news.google.com/api/attachments/CC8iK0NnNUtaRTVWVjFGdGNEUjVNbUZFVFJDZkF4ampCU2dLTWdZRkFJUnl3QU0=-w280-h168-p-df,https://news.google.com/./read/CBMi4gFBVV95cUxPLXJEaFd4SG1Yakk4dGVqRkxoaERqTllkWkMtUFFaSjFHVDZJMW0xQmxzWVdCRzg4OEk4UTR0cktSY3dJVzdNS0dwT0pQTm9PQ3ktWklteUZ1a1dRUTNoQ1BYZVkyR0lLZ2xRMERlRXNDSGkxMEV3azVLYXg5bC1zU0pPamswMFN1XzlCOE8zYkVmdGFuMU1pSVhtMU5jTWRfWVZsd2RnVlUxV2xjRE15OE9mTmx4YTdPM1ZwdENPNFVkdzlwdEFodjIzNmpOdXlackJWQWctNXR0M3JDVXlXQzFB?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,04:18:00,0.36795252561569214,Negative,2025-04-26 14:56:36.665431
17,"Pahalgam Terror Attack Live Updates: After Pahalgam attack, security forces detain 175 in Anantnag amid day-night anti-terror raids",,https://news.google.com/./read/CBMi1AJBVV95cUxOQi1XdjdJTWJYWkkzaGc0ZlgtSkM3TW9XdzI3UVpPeEhwZGZDWVNhQlREN3RaRnZtc0gtRDZqWi1fQ3JhN1V5dmR5WW93NHljSlh4OWNfWXNiQm9TbVpxQ3g1M0xQRlBLNTEyX0sxMjdEN1dQMW5CZnR4anBBMWpzYWN1QzZjYlFzMFp6MmxKRDVpUjJabzhuMmhwMkhuVG9XSEJwdFQtZEo1VUpGblBqODYyY1YwSVZjTl8yTWdvLThTZ2c2cFhnaEQ2VDcyOXJldGMtZ1VuX1J1NzBNT3RSa3RTcmhhcjNvZkVPcmg3eWJHbE5tYW9tVUZhZWtyaHFhYWFDcmd3MkpDSFFIYm5iWk1mZVVNbThrRVVmZVVMQV91NThRZzN2dFhVbF9BTGU2V3RTYmJTS1dkM3VnMXhfUFUweE54T3pPaU1hQjY0VTNKT1Na0gHaAkFVX3lxTE14SFRtQm0wRmswbUpoaElpWncydGZkQ1hGbzFUbTdVQ0J4NnBTcVlHSGRJa0RyTWREekVoNlB3Y2xaSUViUDF1VUR3U091eDc1cDRJN3ZYVVZFaDNHY2pJNk1MRVM0QVZoajFVV3ZxdEVXOFR0bElRWldPNUw5cHNYM2FDSzBzcXYyZ1BpRGJlM0xRYnhna0hzUEtzcUtPcGxveFNEN0RhaE9qS2VrQmlpaDJhaXRJMk1rQWFuREdsT2VkbFlVNXBGM1MwRDU0VjRkX21pckw0OUV3SVlDd3MyNGhPUlQwWkVSOXRMcHBqZmZPVm56MDBSWnpiclowYWxyU0M5Mko1SDc3QmhpeEpGUUlXY2lad3ZCcWE1RzBmbFBoeHVMbG14enJaLTltOEthTlF6UmNwWXh1RnZlZ1BpNGVHVTJFRlB0NFdWQU1SYW5rSlZWRVU0Vmc?hl=en-IN&gl=IN&ceid=IN%3Aen,,2025-04-26,09:14:26,0.36795252561569214,Negative,2025-04-26 14:56:36.912079
